dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,batt,co2,dewpoint,humidity,laeqx,lafmax,lafmin,light,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,snr,temperature,tvoc,uptime
2024-12-22 12:57:18.374Z,5.13922557422783,,,,,,,40,573,1.6763694,32.910606384277344,45.29903793334961,59.40023422241211,36.11589431762695,28.0,,,,,974.1613159179688,-88.0,2.0,18.264612197875977,2,1203125
2024-12-22 13:07:18.772Z,5.146563164121573,,,,,,,40,574,1.696823,32.938072204589844,43.723018646240234,56.40584945678711,36.16093063354492,0.0,,,,,974.2092895507812,-88.0,2.0,18.274682998657227,0,1203725
2024-12-22 13:17:18.613Z,5.161068391165678,,,,,,,40,575,1.738,32.962486267089844,48.51711654663086,76.84754180908203,35.85969161987305,56.0,,,,,974.1913452148438,-88.0,3.0,18.3099308013916,0,1204325
2024-12-22 13:27:25.280Z,5.170341824443098,,,,,,,40,579,1.7636104,33.002159118652344,41.7898063659668,48.917606353759766,34.4033088684082,0.0,,,,,974.2796630859375,-89.0,4.0,18.32000160217285,4,1204925
2024-12-22 13:37:39.701Z,5.203998651773077,,,,,,,40,580,1.8572321,33.10897445678711,41.38371658325195,56.36225891113281,33.64760971069336,0.0,0.0,0.0,0.0,0.0,974.3480834960938,-88.0,4.0,18.375391006469727,3,1205525
2024-12-22 13:47:18.457Z,5.219726689823244,,,,,,,40,582,1.902912,33.08150863647461,41.733821868896484,52.14830017089844,33.62392807006836,0.0,,,,,974.3719482421875,-88.0,4.0,18.44085121154785,1,1206125
2024-12-22 13:57:18.371Z,5.236338459476162,,,,,,,40,586,1.9492326,33.11812973022461,40.30741500854492,51.428707122802734,33.4804801940918,28.0,,,,,974.4346923828125,-88.0,4.0,18.476099014282227,0,1206725
2024-12-22 14:07:18.213Z,5.241672631358798,,,,,,,40,587,1.9648173,33.10287094116211,40.445003509521484,45.82404708862305,34.229366302490234,84.0,,,,,974.5411987304688,-88.0,3.0,18.50127601623535,0,1207325
2024-12-22 14:17:18.612Z,5.2596956226278735,,,,,,,40,594,2.0144625,33.15780258178711,42.39113998413086,65.28763580322266,33.81931686401367,56.0,,,,,974.5414428710938,-88.0,6.0,18.5314884185791,3,1207925
2024-12-22 14:27:18.532Z,5.273018445623235,,,,,,,40,603,2.0517542,33.17306137084961,43.18973922729492,61.342803955078125,34.057308197021484,56.0,,,,,974.6649780273438,-89.0,2.0,18.566736221313477,7,1208525
