dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,altitude,batt,co2,dewpoint,fdebug1,fdebug2,fdebug3,humidity,laeqx,lafmax,lafmin,latitude,light,longitude,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,shock,snr,temperature,tvoc,uptime
2024-11-28 17:17:35.657Z,7.498043448368416,,,,,,,,80,560,7.2455516,,,,39.658138275146484,42.789058685302734,51.591800689697266,35.57503128051758,,28.0,,,,,,1004.2119750976562,-97.0,,1.0,21.5527286529541,90,3377529
2024-11-28 17:27:35.972Z,7.486066270926539,,,,,,,,80,557,7.2219253,,,,39.60625457763672,43.24030685424805,49.58139419555664,35.34830856323242,,0.0,,1.440126895904541,0.9146729707717896,1.1787059307098389,1.3473559617996216,1004.2650756835938,-97.0,,0.0,21.547693252563477,84,3378129
2024-11-28 17:37:35.812Z,7.4827559989038495,,,,,,,,80,554,7.217306,,,,39.50859832763672,44.58613204956055,49.822505950927734,38.45509719848633,,0.0,,,,,,1004.3764038085938,-97.0,,0.0,21.58294105529785,84,3378729
2024-11-28 17:47:35.655Z,7.461692574025767,,,,,,,,80,550,7.174543,,,,39.46587371826172,42.73676681518555,48.689449310302734,35.02555465698242,,0.0,,,,,,1004.3966674804688,-97.0,,2.0,21.5527286529541,82,3379329
2024-11-28 17:57:36.060Z,7.456648474797826,,,,,,,,80,540,7.164402,,,,39.45061492919922,42.9179573059082,52.88094711303711,35.515193939208984,,0.0,,,,,,1004.3786010742188,-97.0,,3.0,21.547693252563477,82,3379929
2024-11-28 18:07:35.891Z,7.513177509951925,,,,,,,,80,535,7.274762,,,,39.749691009521484,46.0014762878418,71.10411071777344,37.4332389831543,,0.0,,,,,,1004.4141235351562,-97.0,,-1.0,21.547693252563477,83,3380529
2024-11-28 18:17:35.848Z,7.534068630940421,,,,,,,,80,534,7.315099,,,,39.871761322021484,44.95088577270508,59.4423828125,37.620113372802734,,84.0,,,,,,1004.5172119140625,-97.0,,-2.0,21.54265785217285,83,3381129
2024-11-28 18:27:36.132Z,7.550094681020216,,,,,,,,80,537,7.346441,,,,39.94500732421875,42.91092300415039,50.31747055053711,35.439998626708984,,0.0,,2.080692768096924,0.8269279599189758,1.4138679504394531,1.8440569639205933,1004.6715087890625,-97.0,,5.0,21.547693252563477,86,3381729
2024-11-28 18:37:35.973Z,7.554552331218806,,,,,,,,80,545,7.356657,,,,39.899227142333984,42.76167678833008,50.526206970214844,34.956905364990234,,168.0,,,,,,1004.7448120117188,-97.0,,5.0,21.577905654907227,89,3382329
2024-11-28 18:47:35.896Z,7.553521138956737,,,,,,,,80,549,7.3543963,,,,39.905330657958984,43.10402297973633,48.86945724487305,34.67440414428711,,0.0,,,,,,1004.8162841796875,-97.0,,1.0,21.5728702545166,90,3382929
2024-11-28 18:57:35.732Z,7.5481189980810734,,,,,,,,80,558,7.3431396,,,,39.91143798828125,43.92850875854492,51.78934097290039,35.45103073120117,,196.0,,,,,,1004.9140625,-97.0,,2.0,21.557764053344727,93,3383529
2024-11-28 19:07:35.654Z,7.566927753845605,,,,,,,,80,564,7.3800764,,,,39.98773193359375,43.60979080200195,60.402305603027344,35.045711517333984,,0.0,,,,,,1005.0126342773438,-97.0,,3.0,21.567834854125977,92,3384129
2024-11-28 19:17:35.652Z,7.5709701690667135,,,,,,,,80,574,7.3878913,,,,40.00909423828125,43.19108963012695,48.347232818603516,35.40751266479492,,56.0,,,,,,1005.0038452148438,-97.0,,3.0,21.567834854125977,96,3384729
