dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,batt,co2,dewpoint,humidity,laeqx,lafmax,lafmin,light,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,shock,snr,temperature,tvoc,uptime
2024-11-29 21:28:55.571Z,6.6801717187294924,,,,,,,60,1072,5.0349984,62.45203399658203,41.03709030151367,45.63576889038086,33.609432220458984,,,,,,1009.8110961914062,-89.0,,-5.0,11.985468864440918,3,3479530
2024-11-29 21:38:54.930Z,6.687790445959544,,,,,,,60,1096,5.047844,62.75720977783203,41.907962799072266,56.891700744628906,33.10647964477539,,,,,,1009.8226928710938,-89.0,,-3.0,11.925044059753418,4,3480130
2024-11-29 21:48:55.865Z,6.669591715445721,,,,,,,60,1119,5.005807,62.78162384033203,40.9667854309082,47.99761199951172,32.99673080444336,,5.4143266677856445,2.901761770248413,4.117534637451172,4.954135894775391,1009.9965209960938,-90.0,,-3.0,11.874690055847168,4,3480730
2024-11-29 21:58:55.251Z,6.6599919109710335,,,,,,,60,1137,4.9839687,62.76941680908203,41.03330612182617,45.8518180847168,33.51211929321289,,,,,,1010.0364379882812,-90.0,,-3.0,11.854548454284668,3,3481330
2024-11-29 22:08:55.172Z,6.645271727217938,,,,,,,60,1149,4.9490085,62.84571075439453,41.04036331176758,45.42155075073242,33.67995834350586,,,,,,1010.1053466796875,-87.0,,-1.0,11.799159049987793,2,3481930
2024-11-29 22:18:55.097Z,6.636630469253558,,,,,,,60,1148,4.927714,62.9403190612793,40.88253402709961,44.84573745727539,33.08595657348633,,,,,,1010.0604248046875,-88.0,,-2.0,11.753840446472168,0,3482530
2024-11-29 22:28:54.931Z,6.638888184253701,,,,,,,60,1143,4.929959,63.13868713378906,40.98793411254883,45.45828628540039,33.51789474487305,,,,,,1010.16455078125,-88.0,,-3.0,11.708521842956543,2,3483130
2024-11-29 22:38:55.336Z,6.6535444495587255,,,,,,,60,1147,4.9595394,63.41640090942383,41.18582534790039,46.11228561401367,33.71000289916992,,,,,,1010.2872924804688,-88.0,,0.0,11.673274993896484,0,3483730
2024-11-29 22:48:55.253Z,6.6425405464484015,,,,,,,60,1152,4.933752,63.44997024536133,41.86418533325195,54.44023895263672,33.6934700012207,,5.162533760070801,2.7169289588928223,3.8968868255615234,4.713395595550537,1010.4682006835938,-88.0,,-1.0,11.638026237487793,0,3484331
2024-11-29 22:58:55.170Z,6.641901572941271,,,,,,,60,1144,4.9323726,63.44386672973633,41.1119270324707,46.352901458740234,33.78015899658203,,,,,,1010.5621337890625,-88.0,,0.0,11.638026237487793,1,3484930
2024-11-29 23:08:55.093Z,6.632665620685926,,,,,,,60,1132,4.909495,63.55373001098633,40.95344924926758,46.20283126831055,33.543643951416016,,,,,,1010.5763549804688,-88.0,,1.0,11.587672233581543,0,3485530
2024-11-29 23:18:55.012Z,6.620238542986057,,,,,,,60,1127,4.8796864,63.63307571411133,40.93490219116211,44.837894439697266,33.48226547241211,,,,,,1010.6376953125,-88.0,,0.0,11.537318229675293,0,3486130
2024-11-29 23:28:54.933Z,6.609894469040443,,,,,,,60,1132,4.855229,63.67274856567383,41.15450668334961,46.37417221069336,33.63534164428711,,,,,,1010.601318359375,-88.0,,-2.0,11.502070426940918,1,3486730
2024-11-29 23:38:54.773Z,6.614733252831144,,,,,,,60,1136,4.8636727,63.858909606933594,40.85251998901367,48.14802932739258,33.02500534057617,,,,,,1010.6319580078125,-87.0,,-1.0,11.466822624206543,1,3487330
2024-11-29 23:48:55.751Z,6.61211920804376,,,,,,,60,1140,4.8562555,63.95351791381836,40.93479537963867,48.28298568725586,32.6003303527832,,1.7936149835586548,1.6961508989334106,1.7936149835586548,1.7936149835586548,1010.5899047851562,-88.0,,-3.0,11.436610221862793,5,3487930
2024-11-29 23:58:55.091Z,6.601363901104436,,,,,,,60,1147,4.8323426,63.88943099975586,40.59994888305664,46.13113784790039,32.33243179321289,,,,,,1010.7131958007812,-89.0,,-3.0,11.426539421081543,2,3488530
2024-11-30 00:08:55.139Z,6.610974386366835,,,,,,,60,1146,4.850855,64.1427230834961,41.061275482177734,45.9520149230957,32.58401107788086,,,,,,1010.7083740234375,-88.0,,0.0,11.386256217956543,6,3489130
2024-11-30 00:18:55.011Z,6.606739563082916,,,,,,,60,1149,4.839921,64.2220687866211,40.77750015258789,49.63633346557617,33.2088737487793,,,,,,1010.7613525390625,-89.0,,-1.0,11.356043815612793,5,3489730
